period,candidate,L1,share_smooth,period_start,period_end
2023-03-20/2023-03-26,侯友宜,L1-01,0.08163265306122448,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,侯友宜,L1-02,0.026239067055393583,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,侯友宜,L1-03,0.061224489795918366,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,侯友宜,L1-04,0.0,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,侯友宜,L1-05,0.011661807580174927,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,侯友宜,L1-06,0.11370262390670553,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,侯友宜,L1-07,0.09329446064139942,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,柯文哲,L1-01,0.1370262390670554,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,柯文哲,L1-02,0.01065261269342902,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,柯文哲,L1-03,0.10075751912486605,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,柯文哲,L1-04,0.030774214447683832,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,柯文哲,L1-05,0.010814582243153672,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,柯文哲,L1-06,0.18567939996511423,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,柯文哲,L1-07,0.034499514091350825,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,赖清德,L1-01,0.07310164325470447,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,赖清德,L1-02,0.046758234085423026,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,赖清德,L1-03,0.24274278975659527,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,赖清德,L1-04,0.04688846632075534,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,赖清德,L1-05,0.0,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,赖清德,L1-06,0.3118152406892096,2023-03-20,2023-03-20/2023-03-26
2023-03-20/2023-03-26,赖清德,L1-07,0.15624464630147547,2023-03-20,2023-03-20/2023-03-26
2023-03-27/2023-04-02,侯友宜,L1-01,0.16326530612244897,2023-03-27,2023-03-27/2023-04-02
