Tweet Date,Tweet Content,Favorite Count,Retweet Count,Reply Count
2023/5/1 10:54,"Congratulations to President-elect @SantiPenap, and to the people of Paraguay for exercising your democratic rights. I look forward to continued cooperation between our two countries. 🇹🇼🇵🇾",954,106,45
2023/4/27 9:19,"Fue un gusto reunirme con el presidente @DrGiammattei y otros representantes de Guatemala, un aliado firme de Taiwán en Centroamérica. Taiwán seguirá siendo un socio confiable y transparente en la búsqueda de una mejor vida para nuestros pueblos. ",523,61,66
2023/4/27 9:02,"It was a pleasure to meet with President Giammattei and other representatives from Guatemala, a strong ally of Taiwan in Central America. I conveyed to them that Taiwan will be a reliable and transparent partner in improving the lives of people in Guatemala and Taiwan. ",1007,83,67
2023/4/22 11:09,"On her first day in Taiwan, AIT's new chairman, Laura Rosenberger and I talked about future cooperation between Taiwan and the United States. We agreed that maintaining the status quo and stability across the Taiwan Strait is conducive to trade and global economic development. ",1237,136,135
2023/4/18 18:30,"Glad to meet members of the National Assembly of France, led by M. Eric Bothorel, who came to express their support for Taiwan. It is our consensus that peace across the strait is essential for both TW and the EU. Taiwan is not alone, we must keep working together. ",1189,138,152
2023/4/17 22:25,"Today I met the delegation led by Portuguese Congressman Hon. Paulo Rios de Oliveira, and had an interesting conversation. We can feel the support of Europe. I believe the world is waking up to the challenges posed by authoritarianism everywhere. ",1406,151,120
2023/4/13 9:03,"I met with the Canadian House of Commons Standing Committee on Foreign and Defense Mission led by the Hon. John McKay. I told everyone that if Taiwan falls, democracy will fall. I hope that Taiwan and Canada, on both sides of the Pacific Ocean, will protect our values together. ",1896,242,188
2023/4/12 21:21,Economy and security are inseparable. Taiwan's hi-tech industries led by semiconductors companies are our pride. We will assist companies to develop domestically and connect them with the world. Taiwan can help create more resilient and transparent supply chains. ,972,130,109
2023/4/12 21:03,"In my candidacy speech today I said:

The future of ROC Taiwan must be determined by our 23 million people. Through democracy we will become a more beautiful, and more diverse country. ",1926,242,202
2023/4/12 20:54,"While China continues military exercises, today I was officially nominated as DPP presidential candidate. I want to bring Taiwanese together, and build a more democratic community. The election next year will be a choice between totalitarianism and democracy. We got this. ",3037,486,297
2023/4/10 10:30,I was glad to meet with the bipartisan US congressional delegation led by Chairperson McCaul. The world cares about the security of Taiwan. Security and the economy are two issues I take very seriously. We will do our best to protect the peace across the Taiwan Strait. ,1975,224,121
2023/4/6 9:07,"Together, stronger. ",4471,439,203
2023/3/31 20:57,奈良美智さん @michinara3 の作品が、台湾高雄で展示されていると聞いて、私もさっそく行ってきました。みんなに光と希望を与えてくれる作品で、とても感動しました。奈良さんが台湾で作品を制作するにあたって、多くのインスピレーションを感じて下さることを切に望みます。 ,1356,132,48
2023/3/30 18:58,"As VP and as a Taiwanese, I’m proud to see President Tsai represent our country with dignity abroad. No matter the difficulties we face, Taiwanese people are calm, pragmatic, and confident in who we are.",1556,156,99
2023/3/27 13:00,"Taiwan and Japan are natural partners in safeguarding democracy. The behaviour of China, North Korea, and Russia are a concern for both of us. Our two countries should establish a common security dialogue mechanism to protect peace in the region.",1515,216,117
2023/3/16 21:29,"Today I met with Morris Chang, founder of TSMC, and Chris Miller, author of ""Chip War"". I firmly believe democracy is the air, sunlight, and water of the semiconductor industry. Without it the sector can’t thrive. It’s in the world’s interest to protect it from being attacked. ",1208,144,81
2023/3/15 13:03,"Today I registered my candidacy for the DPP presidential primary. Boosting the domestic economy, growing green energy, maintaining a resilient supply chain, and safeguarding peace are my goals. I’m honored by the support of millions of Taiwanese who share this vision. ",1509,184,153
2023/3/2 20:09,"It’s been a pleasure for me to work with Ambassador Moriarty over the last several years, and now that he is retiring I will miss him. We deeply appreciate his contribution to the Taiwan-US relationship. ",925,80,52
2023/2/24 17:00,"Ukrainians have heroically resisted Russia’s invasion for one year, Taiwan continues to stand with them. Brutal attacks against a peaceful neighbor cannot be excused or allowed to succeed. ",1669,214,81
2023/2/10 15:38,Today I visited the representative office of Türkiye in Taiwan to convey the solidarity of the Taiwanese people. May hope and light be with the people of Türkiye. ,1050,105,53
2023/2/7 22:25,"When Taiwan suffered an earthquake in 1999 we welcomed help from Türkiye. Now it’s our turn to lend a hand. In the last 2 days, 130 Taiwanese rescue workers have joined the efforts. ",4218,593,103
2023/2/6 12:45,"Our thoughts are with the people of Turkey, Syria and the region, who are affected by this horrific earthquake.",978,102,48
2023/1/20 17:41,"Taiwan doesn’t need to declare independence. The facts speak for themselves. Our focus is on democracy, prosperity, and peace.",4325,622,432
2023/1/19 11:51,"Taiwan is already a sovereign and independent country. Under my leadership the DPP will maintain the existing status quo, protecting peace without compromising the future of Taiwanese people.",4489,659,438
2023/1/18 14:26,Today I start my term as chairperson of the Democratic Progressive Party. The DPP was formed 37 years ago under a dictatorship. It’s goal was clear: to have democracy in Taiwan. I am humbled to continue this work together with the Taiwanese people.,3496,388,223
