doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date
_8132d1bae816,_8132d1bae816_u002,"thank @POTUS, @kishida230 &amp;",context,stability expressed at the #US🇺🇸-#Japan🇯🇵-#ROK🇰🇷 leaders summit &amp;,@President_KR for their assertiveness in the face of #China’s military exercises around #Taiwan🇹🇼. 📄,[],[],False,,c2e5c17c8dbbfeca104ae9de96fd0498,False,01_Hou_X_datasets,2023-08-22 09:45:00
_8132d1bae816,_8132d1bae816_u003,@President_KR for their assertiveness in the face of #China’s military exercises around #Taiwan🇹🇼. 📄,context,"thank @POTUS, @kishida230 &amp;",,[],[],False,,7fb6ac673290ff0ffcea3d011298ed42,False,01_Hou_X_datasets,2023-08-22 09:45:00
_478fa666abea,_478fa666abea_u000,We sincerely applaud #Guatemala 🇬🇹 on its successful presidential election &amp;,context,,congratulate @BArevalodeLeon &amp;,[],[],False,,e554d2af5d6561c2f5267b81851dfc45,False,01_Hou_X_datasets,2023-08-22 09:45:00
_478fa666abea,_478fa666abea_u001,congratulate @BArevalodeLeon &amp;,context,We sincerely applaud #Guatemala 🇬🇹 on its successful presidential election &amp;,@KarinHerreraVP. #Taiwan🇹🇼 looks forward to continuing cooperation with our democratic ally to benefit both our peoples. Viva Guatemala!,[],[],False,,ad9005644a92c0098d00928230e16c05,False,01_Hou_X_datasets,2023-08-22 09:45:00
_478fa666abea,_478fa666abea_u002,@KarinHerreraVP. #Taiwan🇹🇼 looks forward to continuing cooperation with our democratic ally to benefit both our peoples. Viva Guatemala!,context,congratulate @BArevalodeLeon &amp;,,[],[],False,,25c49d6c61d30ec37f73378015cef9a4,False,01_Hou_X_datasets,2023-08-22 09:45:00
_7f8bd36a9e66,_7f8bd36a9e66_u000,A moment with AIT Managing Director Ingrid Larson in New York. Indeed we are like-minded in many ways.,context,,,[],[],False,,81b5474d09bc82055d0fe2a9902b7042,False,01_Hou_X_datasets,2023-08-18 21:15:00
_f9f7247179c2,_f9f7247179c2_u000,A rare moment of relaxation in the Big Apple!,context,,The passion for baseball crosses borders.,[],[],False,,d75207ea4c09b819db7c9acb51e65101,False,01_Hou_X_datasets,2023-08-14 20:26:00
_f9f7247179c2,_f9f7247179c2_u001,The passion for baseball crosses borders.,context,A rare moment of relaxation in the Big Apple!,,[],[],False,,894750f2eecd57d8e8ac6ecd186c024a,False,01_Hou_X_datasets,2023-08-14 20:26:00
_c27e8970ca83,_c27e8970ca83_u000,Glad to welcome our Vice President to New York!,context,,,[],[],False,,c27e8970ca83bc9d6ca7d61381ead5e1,False,01_Hou_X_datasets,2023-08-13 09:41:00
_0cc017df97be,_0cc017df97be_u000,Deepest sympathies to all the Hawaiian people affected by the devastating fires 🙏,context,,,[],[],False,,0cc017df97be8548e8d232c782d9959f,False,01_Hou_X_datasets,2023-08-12 20:41:00
_e97344a101f9,_e97344a101f9_u000,"A big birthday wish. 🥰🎂 Supported by Congress, the US Taiwan trade agreement was signed into law by President Biden today.",context,,,[],[],False,,20804e04fecb8b5bb16164579067a31b,False,01_Hou_X_datasets,2023-08-08 05:40:00
_f07b56d38825,_f07b56d38825_u000,Many thanks again for the bipartisan congressional commitment to supporting deeper trade and commercial ties between Taiwan and the United States.,context,,,[],[],False,,e392c7ef3e73842db312636b98647834,False,01_Hou_X_datasets,2023-08-03 20:53:00
_ea97bc1aec1f,_ea97bc1aec1f_u000,"One year ago, our Congressional delegation’s arrival in Taiwan sent an unequivocal message: America stands with Taiwan as it defends itself and its freedom. Solidarity with Taiwan is as important as ever, as our world faces a stark choice between democracy and autocracy.",context,,,[],[],False,,59ee369d1599cbfb17cb2c9bfdad092e,False,01_Hou_X_datasets,2023-08-03 08:38:00
_42af0cf18445,_42af0cf18445_u000,President Tsai extends condolences to victims of severe flooding around Beijing China.,context,,,[],[],False,,42af0cf18445548efda125a62aac1c54,False,01_Hou_X_datasets,2023-08-01 21:33:00
_183e35af3ca1,_183e35af3ca1_u000,"Attended a bell-ringing celebration as lead cheerleader at the NYSE this week, marking Taiwan company CHT’s 20th anniversary since listing. One of Taiwan’s successful privatized and internationalized SOE’s that contributes to innovation.",context,,,[],[],False,,51771bef1d98fe1e0f4aecd33ea0c36c,False,01_Hou_X_datasets,2023-07-23 09:30:00
_924308df1569,_924308df1569_u000,"This is wonderful news, exemplifying the strong bipartisan congressional support for a robust trade relationship that is mutually beneficial to both the US and Taiwan!",context,,Thanks to all!,[],[],False,,736630766a23d7e1015bfeba7bac4b87,False,01_Hou_X_datasets,2023-07-19 07:43:00
_924308df1569,_924308df1569_u001,Thanks to all!,context,"This is wonderful news, exemplifying the strong bipartisan congressional support for a robust trade relationship that is mutually beneficial to both the US and Taiwan!",,[],[],False,,f73cdb76db1deb5025e0ac96ae6632aa,False,01_Hou_X_datasets,2023-07-19 07:43:00
_239e4283b7d7,_239e4283b7d7_u000,Today I visited the Rhode Island State House to celebrate an agreement that will foster education and cultural exchanges between Taiwan and RI. Thanks to all who have worked for this.,context,,,[],[],False,,77fab8b875bd67b5295eac6f861c3cd5,False,01_Hou_X_datasets,2023-07-15 05:10:00
_3f32ef0068b8,_3f32ef0068b8_u000,"Relieving workers and businesses from double taxation is important for bilateral investment. Appreciate the congressional momentum in tackling the problem, and look forward to an effective pathway ahead.",context,,,[],[],False,,e94716a4c98dd6db3296ea8a71a41670,False,01_Hou_X_datasets,2023-07-14 05:37:00
_5010eb4faa75,_5010eb4faa75_u000,Pleased to see the congressional attention and efforts in resolving double taxation issues for businesses and employees in Taiwan-US cross-border investments. Many thanks!,context,,,[],[],False,,df9547ffd1914bbc122d26fdc1801d44,False,01_Hou_X_datasets,2023-07-14 04:21:00
_bbdec6fd8106,_bbdec6fd8106_u000,Honored to be invited to policy discussions on current events with analysts and supporters of the Reagan Foundation &amp;,context,,Institute. A “fireside chat” with a real camp fire was quite an experience.,[],[],False,,b4958614be6d39e5f88623f9bc3888d1,False,01_Hou_X_datasets,2023-07-13 10:44:00
_bbdec6fd8106,_bbdec6fd8106_u001,Institute. A “fireside chat” with a real camp fire was quite an experience.,context,Honored to be invited to policy discussions on current events with analysts and supporters of the Reagan Foundation &amp;,,[],[],False,,6b6d7e436272580f4e14cd705dfcfca5,False,01_Hou_X_datasets,2023-07-13 10:44:00
_94ad0b4ad05c,_94ad0b4ad05c_u000,Vice President ⁦⁦@ChingteLai⁩ shares his views on preserving peace and defending democracy.,context,,,[],[],False,,d6a80f00504ef46f934cd121770e67b5,False,01_Hou_X_datasets,2023-07-05 07:32:00
