period,candidate,L1,share_smooth,period_end
2023-05-15/2023-05-21,柯文哲,L1-07,0.16247965145023965,2023-05-15/2023-05-21
2023-05-15/2023-05-21,赖清德,L1-01,0.1201006170445746,2023-05-15/2023-05-21
2023-05-15/2023-05-21,赖清德,L1-03,0.15765631936792132,2023-05-15/2023-05-21
2023-05-15/2023-05-21,赖清德,L1-06,0.32219081932751253,2023-05-15/2023-05-21
2023-05-15/2023-05-21,赖清德,L1-07,0.14303917359232501,2023-05-15/2023-05-21
2023-05-22/2023-05-28,侯友宜,L1-01,0.014285714285714287,2023-05-22/2023-05-28
2023-05-22/2023-05-28,侯友宜,L1-03,0.2727970024962506,2023-05-22/2023-05-28
2023-05-22/2023-05-28,侯友宜,L1-06,0.3277968898269649,2023-05-22/2023-05-28
2023-05-22/2023-05-28,侯友宜,L1-07,0.11701168505679783,2023-05-22/2023-05-28
2023-05-22/2023-05-28,柯文哲,L1-01,0.025697278911564623,2023-05-22/2023-05-28
2023-05-22/2023-05-28,柯文哲,L1-03,0.31922453963270286,2023-05-22/2023-05-28
2023-05-22/2023-05-28,柯文哲,L1-06,0.3101669419016358,2023-05-22/2023-05-28
2023-05-22/2023-05-28,柯文哲,L1-07,0.1476835862550148,2023-05-22/2023-05-28
2023-05-22/2023-05-28,赖清德,L1-01,0.0644138397567638,2023-05-22/2023-05-28
2023-05-22/2023-05-28,赖清德,L1-03,0.3007421307561035,2023-05-22/2023-05-28
2023-05-22/2023-05-28,赖清德,L1-06,0.28895105751422046,2023-05-22/2023-05-28
2023-05-22/2023-05-28,赖清德,L1-07,0.12727392284001812,2023-05-22/2023-05-28
2023-05-29/2023-06-04,侯友宜,L1-01,0.030612244897959183,2023-05-29/2023-06-04
2023-05-29/2023-06-04,侯友宜,L1-03,0.12430426716141003,2023-05-29/2023-06-04
2023-05-29/2023-06-04,侯友宜,L1-06,0.3091931877646163,2023-05-29/2023-06-04
2023-05-29/2023-06-04,侯友宜,L1-07,0.11000903858046716,2023-05-29/2023-06-04
2023-05-29/2023-06-04,柯文哲,L1-01,0.008699272812573305,2023-05-29/2023-06-04
2023-05-29/2023-06-04,柯文哲,L1-03,0.34665895915016254,2023-05-29/2023-06-04
